Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,States Affected Names_1,States Affected Names_2,States Affected Names_3,States Affected Names_4,States Affected Names_5,SS HWS max,Central Pressure (mb) min
10/18/1950,0500Z,25.7N,80.2W,115,4,5,955,"CFL4,DFL1",King,Florida,NULL,NULL,NULL,NULL,NULL,4,955
8/31/1952,0300Z,32.3N,80.6W,85,2,NULL,980,SC2,Able,South Carolina,NULL,NULL,NULL,NULL,NULL,2,980
8/14/1953,0500Z,35.4N,76.1W,75,1,NULL,978,NC1,Barbara,North Carolina,NULL,NULL,NULL,NULL,NULL,1,975
9/26/1953,1500Z,30.3N,86.2W,80,1,NULL,975,AFL1,Florence,Florida,NULL,NULL,NULL,NULL,NULL,1,956
10/9/1953,1500Z,26.7N,82.2W,75,1,NULL,980,BFL1,Hazel,Florida,NULL,NULL,NULL,NULL,NULL,4,938
8/31/1954,0300Z,35.4N,75.1W,75,1,25,960,NC1,Carol,North Carolina,NULL,NULL,NULL,NULL,NULL,3,955
9/11/1954,1830Z,41.4N,70.5W,95,2,25,950,"MA2,NY1,RI1",Edna,Rhode Island, Massachusetts, New York,NULL,NULL,NULL,2,943
10/15/1954,1530Z,33.9N,78.6W,115,4,20,938,"SC4,NC4",Hazel,North Carolina, South Carolina,NULL,NULL,NULL,NULL,4,938
8/12/1955,1500Z,34.7N,76.7W,85,2,30,962,"NC2,VA1",Connie,North Carolina, Virginia,NULL,NULL,NULL,NULL,2,962
9/19/1955,1100Z,34.7N,76.7W,90,2,25,955,NC2,Ione,North Carolina,NULL,NULL,NULL,NULL,NULL,2,955
9/24/1956,1000Z,29.1N,89.4W,75,1,20,980,LA1,Flossy,Louisiana,NULL,NULL,NULL,NULL,NULL,1,974
6/27/1957,1330Z,29.8N,93.7W,110,3,15,946,"LA3,CTX2",Audrey,Louisiana, Texas,NULL,NULL,NULL,NULL,3,946
9/27/1958,1800Z,33.9N,77.6W,110,3,20,938,NC3,Helene,North Carolina,NULL,NULL,NULL,NULL,NULL,3,938
7/9/1959,0400Z,33.0N,79.6W,65,1,20,995,SC1,Cindy,South Carolina,NULL,NULL,NULL,NULL,NULL,3,946
7/25/1959,0500Z,29.1N,95.2W,75,1,20,980,CTX1,Debra,Texas,NULL,NULL,NULL,NULL,NULL,1,980
9/29/1959,1700Z,32.5N,80.4W,115,4,10,951,SC4,Gracie,South Carolina,NULL,NULL,NULL,NULL,NULL,4,951
9/10/1960,1600Z,25.9N,81.6W,105,3,20,942,"BFL4,CFL4",Donna,Florida,NULL,NULL,NULL,NULL,NULL,4,930
9/11/1961,2000Z,28.3N,96.4W,125,4,20,931,"BTX4, CTX3, ATX1",Carla,Texas,NULL,NULL,NULL,NULL,NULL,4,931
